episode,global_step,sub_run_index,returns,episode_length
2800,63438,eval_idx02,87.0,87
2800,63438,eval_idx03,72.0,72
2800,63438,eval_idx04,57.0,57
2800,63438,eval_idx05,46.0,46
2800,63438,eval_idx06,65.0,65
2800,63438,eval_idx07,31.0,31
2800,63438,eval_idx08,44.0,44
2800,63438,eval_idx09,41.0,41
2850,65093,eval_idx00,36.0,36
2850,65093,eval_idx01,52.0,52
2850,65093,eval_idx02,44.0,44
2850,65093,eval_idx03,43.0,43
2850,65093,eval_idx04,40.0,40
2850,65093,eval_idx05,31.0,31
2850,65093,eval_idx06,40.0,40
2850,65093,eval_idx07,58.0,58
2850,65093,eval_idx08,35.0,35
2850,65093,eval_idx09,32.0,32
2900,66657,eval_idx00,30.0,30
2900,66657,eval_idx01,38.0,38
2900,66657,eval_idx02,34.0,34
2900,66657,eval_idx03,35.0,35
2900,66657,eval_idx04,30.0,30
2900,66657,eval_idx05,27.0,27
2900,66657,eval_idx06,34.0,34
2900,66657,eval_idx07,52.0,52
2900,66657,eval_idx08,29.0,29
2900,66657,eval_idx09,26.0,26
2950,67926,eval_idx00,41.0,41
2950,67926,eval_idx01,76.0,76
2950,67926,eval_idx02,48.0,48
2950,67926,eval_idx03,49.0,49
2950,67926,eval_idx04,54.0,54
2950,67926,eval_idx05,35.0,35
2950,67926,eval_idx06,45.0,45
2950,67926,eval_idx07,79.0,79
2950,67926,eval_idx08,37.0,37
2950,67926,eval_idx09,35.0,35
3000,69284,eval_idx00,38.0,38
3000,69284,eval_idx01,57.0,57
3000,69284,eval_idx02,44.0,44
3000,69284,eval_idx03,43.0,43
3000,69284,eval_idx04,40.0,40
3000,69284,eval_idx05,31.0,31
3000,69284,eval_idx06,41.0,41
3000,69284,eval_idx07,58.0,58
3000,69284,eval_idx08,35.0,35
3000,69284,eval_idx09,32.0,32
3050,70926,eval_idx00,40.0,40
3050,70926,eval_idx01,131.0,131
3050,70926,eval_idx02,45.0,45
3050,70926,eval_idx03,45.0,45
3050,70926,eval_idx04,50.0,50
3050,70926,eval_idx05,33.0,33
3050,70926,eval_idx06,41.0,41
3050,70926,eval_idx07,61.0,61
3050,70926,eval_idx08,37.0,37
3050,70926,eval_idx09,32.0,32
3100,72537,eval_idx00,30.0,30
3100,72537,eval_idx01,38.0,38
3100,72537,eval_idx02,34.0,34
3100,72537,eval_idx03,33.0,33
3100,72537,eval_idx04,30.0,30
3100,72537,eval_idx05,27.0,27
3100,72537,eval_idx06,32.0,32
3100,72537,eval_idx07,52.0,52
3100,72537,eval_idx08,26.0,26
3100,72537,eval_idx09,26.0,26
3150,73929,eval_idx00,24.0,24
3150,73929,eval_idx01,33.0,33
3150,73929,eval_idx02,25.0,25
